# File generated by CMD 3.8 (http://stev.oapd.inaf.it/cmd) on Fri Apr 25 20:57:46 UTC 2025
# PARSEC isochrones, release v1.1 (Bressan et al. 2012)
# Basic reference: Bressan et al. (2012), MNRAS, 427, 127
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# LPV periods and growth rates added cf. Trabucchi et al. (2019)
# but fundamental-mode LPV periods + transition are from Trabucchi et al. (2021)
# Photometric system: Gaia EDR3 (all Vegamags, Gaia passbands from ESA/Gaia website)
# Using OBC version of bolometric corrections as detailed in Marigo et al. (2008, A&A 482, 883) and Girardi et al. (2008, PASP 120, 583
# O-rich circumstellar dust ignored
# C-rich circumstellar dust ignored
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label 	 mbolmag  Gmag    G_BPmag  G_RPmag
0.00031003 -1.70000 10.07918 0.1000000015 1.1711064122    0.100 -2.701  3.5918  5.459    0 11.524 11.837 12.643 10.962
0.00031003 -1.70000 10.07918 0.1117973626 1.2627198804    0.112 -2.510  3.6084  5.382    0 11.046 11.286 12.007 10.460
0.00031003 -1.70000 10.07918 0.1186959743 1.3106599319    0.119 -2.408  3.6174  5.341    0 10.789 11.004 11.693 10.199
0.00031003 -1.70000 10.07918 0.1373919547 1.4242126363    0.137 -2.228  3.6288  5.270    0 10.339 10.520 11.169 9.743
0.00031003 -1.70000 10.07918 0.1560879350 1.5192676579    0.156 -2.090  3.6358  5.216    0 9.996 10.156 10.781 9.395
0.00031003 -1.70000 10.07918 0.1934798956 1.6712788181    0.193 -1.887  3.6447  5.141    0 9.489 9.622 10.218 8.882
0.00031003 -1.70000 10.07918 0.2402198315 1.8148502784    0.239 -1.704  3.6522  5.082    0 9.030 9.141 9.712 8.419
0.00031003 -1.70000 10.07918 0.2869597673 1.9260357596    0.286 -1.563  3.6581  5.042    0 8.678 8.773 9.326 8.065
0.00031003 -1.70000 10.07918 0.3336997032 2.0158629907    0.333 -1.448  3.6632  5.013    0 8.391 8.472 9.011 7.777
0.00031003 -1.70000 10.07918 0.3804396689 2.0906623968    0.380 -1.346  3.6679  4.987    0 8.135 8.204 8.729 7.521
0.00031003 -1.70000 10.07918 0.3973351717 2.1148148880    0.396 -1.302  3.6704  4.972    0 8.025 8.089 8.606 7.411
0.00031003 -1.70000 10.07918 0.4271795750 2.1543777215    0.426 -1.231  3.6744  4.948    0 7.846 7.901 8.407 7.234
0.00031003 -1.70000 10.07918 0.4300793707 2.1580296560    0.429 -1.223  3.6750  4.945    0 7.827 7.880 8.384 7.214
0.00031003 -1.70000 10.07918 0.4426653385 2.1735170005    0.442 -1.188  3.6775  4.933    0 7.740 7.788 8.284 7.127
